STATION,NAME,DATE,AVG,TMAX,TMIN
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/31/71,,76,49
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/1/71,,54,28
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/2/71,,42,27
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/3/71,,46,24
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/4/71,,45,24
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/5/71,,47,26
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/6/71,,57,24
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/7/71,,73,30
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/8/71,,78,48
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/9/71,,65,40
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/10/71,,74,35
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/11/71,,82,56
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/12/71,,71,47
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/13/71,,61,42
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/14/71,,63,29
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/15/71,,76,41
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/16/71,,80,57
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/17/71,,73,49
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/18/71,,66,53
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/19/71,,78,59
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/20/71,,83,48
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/21/71,,64,43
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/22/71,,63,39
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/23/71,,68,38
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/24/71,,64,42
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/25/71,,67,43
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/26/71,,64,42
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/27/71,,58,40
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/28/71,,52,39
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/29/71,,59,33
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",4/30/71,,65,40
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/1/71,,52,36
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/2/71,,57,35
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/3/71,,65,32
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/4/71,,71,46
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/5/71,,71,53
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/6/71,,62,53
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/7/71,,55,45
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/8/71,,69,41
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/9/71,,74,41
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/10/71,,72,55
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/11/71,,69,46
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/12/71,,63,40
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/13/71,,78,41
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/14/71,,84,50
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/15/71,,83,52
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/16/71,,82,52
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/17/71,,84,65
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/18/71,,70,53
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/19/71,,63,48
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/20/71,,70,44
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/21/71,,72,55
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/22/71,,70,55
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/23/71,,71,59
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/24/71,,63,50
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/25/71,,54,47
